recordtimeStr;meterCount;voltage;frequence;current;totalPowerFactor;powerfactor;totalActivePower;activepower;totalReactivePower;reactivepower
2019-07-01 00:05:00;100.37;166.3;46.25;5.33;0.88;0.88;0.76;0.76;0.0;0.0
2019-07-01 00:10:00;100.37;166.3;46.25;5.33;0.88;0.88;0.76;0.76;0.0;0.0
2019-07-01 00:15:00;100.49;163.1;46.89;4.87;0.88;0.88;0.75;0.75;0.0;0.0
2019-07-01 00:20:00;100.49;163.1;46.89;4.87;0.88;0.88;0.75;0.75;0.0;0.0
2019-07-01 00:25:00;100.62;162.4;45.77;5.53;0.87;0.87;0.79;0.79;0.0;0.0
2019-07-01 00:30:00;100.62;162.4;45.77;5.53;0.87;0.87;0.79;0.79;0.0;0.0
2019-07-01 00:35:00;100.75;164.2;46.2;5.25;0.87;0.87;0.76;0.76;0.0;0.0
2019-07-01 00:40:00;100.75;164.2;46.2;5.25;0.87;0.87;0.76;0.76;0.0;0.0
2019-07-01 00:45:00;100.88;163.2;45.92;5.32;0.88;0.88;0.78;0.78;0.0;0.0
2019-07-01 00:50:00;100.88;163.2;45.92;5.32;0.88;0.88;0.78;0.78;0.0;0.0
2019-07-01 00:55:00;101.00;153.6;45.59;5.65;0.87;0.87;0.75;0.75;0.0;0.0
2019-07-01 01:00:00;101.00;153.6;45.59;5.65;0.87;0.87;0.75;0.75;0.0;0.0
2019-07-01 01:48:00;101.68;164.3;46.19;5.54;0.87;0.87;0.79;0.79;0.0;0.0
2019-07-01 01:50:00;101.68;164.3;46.19;5.54;0.87;0.87;0.79;0.79;0.0;0.0
2019-07-01 01:55:00;101.80;172.0;46.65;4.93;0.88;0.88;0.74;0.74;0.0;0.0
2019-07-01 02:00:00;101.80;172.0;46.65;4.93;0.88;0.88;0.74;0.74;0.0;0.0
2019-07-01 02:05:00;101.93;167.5;46.06;5.15;0.87;0.87;0.74;0.74;0.0;0.0
2019-07-01 02:10:00;101.93;167.5;46.06;5.15;0.87;0.87;0.74;0.74;0.0;0.0
2019-07-01 02:15:00;102.05;168.2;46.51;5.14;0.87;0.87;0.75;0.75;0.0;0.0
2019-07-01 02:20:00;102.05;168.2;46.51;5.14;0.87;0.87;0.75;0.75;0.0;0.0
2019-07-01 02:25:00;102.18;161.0;46.34;5.19;0.88;0.88;0.75;0.75;0.0;0.0
2019-07-01 02:30:00;102.18;161.0;46.34;5.19;0.88;0.88;0.75;0.75;0.0;0.0
2019-07-01 02:35:00;102.30;175.5;47.27;4.4;0.89;0.89;0.71;0.71;0.0;0.0
2019-07-01 02:37:00;102.30;175.5;47.27;4.4;0.89;0.89;0.71;0.71;0.0;0.0
2019-07-01 02:40:00;102.30;175.5;47.27;4.4;0.89;0.89;0.71;0.71;0.0;0.0
2019-07-01 02:45:00;102.42;176.0;47.04;4.59;0.88;0.88;0.75;0.75;0.0;0.0
2019-07-01 02:50:00;102.42;176.0;47.04;4.59;0.88;0.88;0.75;0.75;0.0;0.0
2019-07-01 02:55:00;102.54;178.4;47.27;4.35;0.89;0.89;0.68;0.68;0.0;0.0
2019-07-01 03:00:00;102.54;178.4;47.27;4.35;0.89;0.89;0.68;0.68;0.0;0.0
