Start-Code; Vergangene Zeitdauer [ms]; Zeit seit Start [ms]; Temparatur (BMP180); Luftdruck (BMP180); Berechnente Hoehe (BMP180); Fallgeschwindigkeit (BMP180); Temperatur (LM-35); rel. Luftfeuchtigkeit (HIH-4021-003); Globle Strahlung (LDR); Globale Strahlung [W/m2]; Indirekte Strahlung (LDR); Indirekte Strahlung [W/m2]; GPS Länge; GPS Breite; End-Code;Allbedo
M15-Start;1259401;0;24.4;100089;102.9;0.1;23.9;47.8;22;300;0;0;53.12619;9.35291;M15-End;0
M15-Start;1260716;1315;24.4;100075;104.4;-1.2;24.4;47.3;22;300;2;0.2;53.12619;9.35291;M15-End;0.0006666667
M15-Start;1262026;2625;24.4;99392;158.9;-41.6;24.9;46.9;22;300;1;0.1;53.12615;9.35285;M15-End;0.0003333333
M15-Start;1263333;3932;24.4;98005;276;-89.6;21;45.4;22;300;3;0.3;53.12615;9.35277;M15-End;0.001
M15-Start;1264644;5243;24.4;95893;461;-141.1;23.9;42.2;22;300;0;0;53.12616;9.35298;M15-End;0
M15-Start;1265954;6553;24.4;93602;658;-150.4;25.4;41.9;22;300;4;0.4;53.12612;9.35319;M15-End;0.0013333333
M15-Start;1267269;7868;24.4;91767;823.4;-125.8;24.9;39.5;22;300;4;0.4;53.12615;9.35414;M15-End;0.0013333333
M15-Start;1268578;9177;24.4;90255;961.2;-105.3;23.9;33.6;22;300;6;0.6;53.12606;9.35445;M15-End;0.002
M15-Start;1269891;10490;24.4;89020;1074.7;-86.4;24.4;35.1;22;300;9;1;53.12594;9.35467;M15-End;0.0033333333
M15-Start;1271201;11800;24.4;88044;1167.2;-70.6;23.9;35.5;22;300;8;0.9;53.12579;9.35509;M15-End;0.003
M15-Start;1272512;13111;24.3;87275;1239.6;-55.3;23.9;35.1;22;300;6;0.6;53.1257;9.35505;M15-End;0.002
M15-Start;1273823;14422;24.3;86718;1293.3;-41;25.4;35.4;22;300;8;0.9;53.12564;9.3552;M15-End;0.003
M15-Start;1276454;17053;24.4;86144;1347.1;-13.7;27.3;33.9;22;300;6;0.6;53.12552;9.3559;M15-End;0.002
M15-Start;1277765;18364;24.4;86137;1348.9;-1.4;21;34.3;22;300;18;2.3;53.12547;9.35613;M15-End;0.0076666667
M15-Start;1279076;19675;24.4;86299;1334.8;10.8;27.3;34.3;22;300;44;8.1;53.12528;9.35651;M15-End;0.027
M15-Start;1280387;20986;24.4;86622;1303.2;24.1;25.9;35.7;22;300;93;26.8;53.12522;9.35652;M15-End;0.0893333333
M15-Start;1281708;22307;24.4;87021;1269.8;25.2;23.4;35.7;22;300;161;69;53.12522;9.35657;M15-End;0.23
